name,formatted_address,lat,lng,website,phone_national,phone_international,types,place_id,resource_name,google_maps_uri,included_type,source_keyword
Move on cafe - มูฟออนคาเฟ่,CVG4+PFJ อุทยานแห่งชาติอ่าวมะนาว-เขาตันหยง ตำบล กะลุวอเหนือ อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4268354,101.8561417,https://www.facebook.com/share/18zTPVf7pp/,,,coffee_shop|cafe|food_store|point_of_interest|store|food|establishment,ChIJfYlAEwDxszERjYg9Mv-kG_c,places/ChIJfYlAEwDxszERjYg9Mv-kG_c,https://maps.google.com/?cid=17806006967705897101&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Bunga Raya cafe’ (ดุซงหญอ),223 ดุซงหญอ 1 ตำบล ดุซงญอ อำเภอ จะแนะ นราธิวาส 96220 ประเทศไทย,6.1730149,101.7015539,https://www.instagram.com/bungaraya_cafe_?igsh=MWg3ZXVtbnI1NWhtMQ==,093 778 8506,+66 93 778 8506,coffee_shop|cafe|food_store|point_of_interest|store|food|establishment,ChIJHaXUbQBztDER4Sj0VCjlyjQ,places/ChIJHaXUbQBztDER4Sj0VCjlyjQ,https://maps.google.com/?cid=3804104796654545121&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Siplet cafe,59 4 ถนนประชาวิวัฒน์ ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.0178914,101.9620772,,083 169 2669,+66 83 169 2669,coffee_shop|cafe|food_store|point_of_interest|store|food|establishment,ChIJUejJGgAZtDERhDmFdb7nNtg,places/ChIJUejJGgAZtDERhDmFdb7nNtg,https://maps.google.com/?cid=15579894766136277380&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Sunshine coffee Narathat beach,"Narathat beach, Tambon Bang Nak, Narathiwat, Chang Wat Narathiwat 96000 ประเทศไทย",6.4458758,101.8289284,https://www.facebook.com/Sunshine-St-101323045913790/,098 987 7792,+66 98 987 7792,cafe|point_of_interest|food|establishment,ChIJj3_ItH7vszERlKUQ8lBtFzU,places/ChIJj3_ItH7vszERlKUQ8lBtFzU,https://maps.google.com/?cid=3825646602900514196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
10th Coffee Brew Lab,217 ถนน ณ นคร ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4152533,101.812772,,084 180 5989,+66 84 180 5989,coffee_shop|cafe|food_store|point_of_interest|store|food|establishment,ChIJkwRxziPxszERW7V4CnVXnjY,places/ChIJkwRxziPxszERW7V4CnVXnjY,https://maps.google.com/?cid=3935679284566865243&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
feb coffee house,398 ถ.ภูผาภัคดี ตำบล บางนาค นราธิวาส 96000 ประเทศไทย,6.4311137,101.8243354,,,,cafe|food|point_of_interest|establishment,ChIJSTTUrIPzszERg_wqTIXUS0o,places/ChIJSTTUrIPzszERg_wqTIXUS0o,https://maps.google.com/?cid=5353606251033590915&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Kak Dah Family Cafe & Restaurant,"Kampung Kubang Terap, 17000 Pasir Mas, Kelantan, มาเลเซีย",6.046860199999999,102.13841269999999,,010-577 3459,+60 10-577 3459,restaurant|point_of_interest|food|establishment,ChIJHVnxZO2mtjER2yQQkdfG5aI,places/ChIJHVnxZO2mtjER2yQQkdfG5aI,https://maps.google.com/?cid=11738006632965088475&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Idyllic house cafe,181 ต.โคกเคียน อ.เมือง นราธิวาส 96000 ประเทศไทย,6.5254855,101.7587641,,098 014 1146,+66 98 014 1146,coffee_shop|cafe|food_store|food|point_of_interest|store|establishment,ChIJ-T7UrvrrszERqkOy3X83_Vg,places/ChIJ-T7UrvrrszERqkOy3X83_Vg,https://maps.google.com/?cid=6412342466765276074&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
OREN CORNER CAFE,"Pt 9076, kg bukit lakota, Kampung Lakota, 17600 Jeli, Kelantan, มาเลเซีย",5.734278199999999,101.86009209999999,https://www.facebook.com/orencorner.caffe,013-942 0922,+60 13-942 0922,restaurant|point_of_interest|food|establishment,ChIJn7esLcMxtDERolfLL5dBpq0,places/ChIJn7esLcMxtDERolfLL5dBpq0,https://maps.google.com/?cid=12512760732293224354&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
ระบายศิลป์คาเฟ่,3 1 หลังวัดพระพุทธ ตำบล พร่อน อำเภอ ตากใบ นราธิวาส 96110 ประเทศไทย,6.231515,102.02836990000002,https://www.facebook.com/share/19cyHYpgFZ/?mibextid=wwXIfr,080 705 8572,+66 80 705 8572,cafe|point_of_interest|food|establishment,ChIJG1CqRPQBtDERFphntsytnmw,places/ChIJG1CqRPQBtDERFphntsytnmw,https://maps.google.com/?cid=7826884297161676822&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
