name,formatted_address,lat,lng,website,phone_national,phone_international,types,place_id,resource_name,google_maps_uri,included_type,source_keyword
ร้านบ้านกลางซอย,38 ถนนจิตรปฏิมา ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4362293,101.8238975,,073 522 323,+66 73 522 323,restaurant|point_of_interest|food|establishment,ChIJSVFv9N7xszER2y-GY1e7OhQ,places/ChIJSVFv9N7xszER2y-GY1e7OhQ,https://maps.google.com/?cid=1457683413414064091&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
ร้านอาหารดาวนคร,CR77+8WC ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.413301499999999,101.8147596,,086 959 9040,+66 86 959 9040,restaurant|point_of_interest|food|establishment,ChIJfRfpTZHxszERnd0bfUa_ee8,places/ChIJfRfpTZHxszERnd0bfUa_ee8,https://maps.google.com/?cid=17256033756714360221&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
สวนอาหารริมน้ำ,CR9P+X2X ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4199896999999995,101.8351148,,073 511 559,+66 73 511 559,restaurant|food|point_of_interest|establishment,ChIJKYSbLjzxszERRoTvNQhP9mo,places/ChIJKYSbLjzxszERRoTvNQhP9mo,https://maps.google.com/?cid=7707434708974404678&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
ร้านอาหาร for get me not อย่าลืมฉัน,433 5 ตำบล โคกเคียน อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4275734,101.8107847,,062 292 0991,+66 62 292 0991,restaurant|point_of_interest|food|establishment,ChIJ-Xa7tj7xszERwBy-p_LlEZk,places/ChIJ-Xa7tj7xszERwBy-p_LlEZk,https://maps.google.com/?cid=11029849792766155968&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
ร้านอาหาร ริมญาลัน,Rural Rd นธ 4011 ตำบล ตันหยงมัส อำเภอ ระแงะ นราธิวาส 96130 ประเทศไทย,6.2897099999999995,101.71197930000001,,,,restaurant|food|point_of_interest|establishment,ChIJJ0F9Ikz1szERiLMET9theRE,places/ChIJJ0F9Ikz1szERiLMET9theRE,https://maps.google.com/?cid=1259145165378204552&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
ครัวเรืออวน,CRF9+V2W ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.424735399999999,101.81757789999999,https://th.polomap.com/%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%A7%E0%B8%B2%E0%B8%AA/9685,086 968 0597,+66 86 968 0597,restaurant|point_of_interest|food|establishment,ChIJ3dwzeenxszERj0HIsDidR4k,places/ChIJ3dwzeenxszERj0HIsDidR4k,https://maps.google.com/?cid=9892047973352227215&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
สถานี​พบรัก,CR78+HC3 ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4138885,101.8160372,,093 747 5346,+66 93 747 5346,restaurant|point_of_interest|food|establishment,ChIJVS-3ENvxszERS4LAGycUh1Y,places/ChIJVS-3ENvxszERS4LAGycUh1Y,https://maps.google.com/?cid=6234974367319622219&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
คนคอนโภชนา,"40/54 ถ รพ ช ต ลำ ภู อ เมือง, ตำบล ลำภู อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย",6.418106300000001,101.8089624,,073 532 481,+66 73 532 481,restaurant|point_of_interest|food|establishment,ChIJhWnoXY3xszERTFWqsVdL_iY,places/ChIJhWnoXY3xszERTFWqsVdL_iY,https://maps.google.com/?cid=2809766057540736332&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
ร้านอาหารริมทาง,Unnamed Road 7GVJ+86C ตำบล ตะมะยูง อำเภอ ศรีสาคร นราธิวาส 96210 ประเทศไทย,6.2933015,101.5305185,,080 649 2522,+66 80 649 2522,restaurant|point_of_interest|food|establishment,ChIJ77m5SsuJszERvx9D-ww9pfk,places/ChIJ77m5SsuJszERvx9D-ww9pfk,https://maps.google.com/?cid=17988851412565696447&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
ร้านอาหารเช้ากะซะห์ แบมัย,7P92+M9 ตำบล บาโงสะโต อำเภอ ระแงะ นราธิวาส 96130 ประเทศไทย,6.269184500000001,101.7008783,,092 951 3409,+66 92 951 3409,restaurant|food|point_of_interest|establishment,ChIJ40uVUgB1tDERaJlXu-8W8DA,places/ChIJ40uVUgB1tDERaJlXu-8W8DA,https://maps.google.com/?cid=3526343727127173480&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
ร้านกะยะห์หัวสะพาน,Unnamed Road CRVF+G7P ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4438496,101.8231923,,,,restaurant|food|point_of_interest|establishment,ChIJQ2QMoiHuszERjQOz8AWDwTE,places/ChIJQ2QMoiHuszERjQOz8AWDwTE,https://maps.google.com/?cid=3585290839899964301&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,restaurant,ร้านอาหาร
